frequency,period,resp_real_0_2,resp_imag_0_2,resp_real_0_3,resp_imag_0_3,coherence_0_2+3,resp_real_1_2,resp_imag_1_2,resp_real_1_3,resp_imag_1_3,coherence_1_2+3,dresp_0_2,dresp_0_3,dresp_1_2,dresp_1_3
1.4648437500e-03,6.8266666667e+02,3.9175136985e-01,3.9556163324e-01,3.3812219159e-01,4.8098434516e-01,9.5267867223e-01,-7.2644917482e-01,-8.0292284235e-01,-1.5260532262e-01,-1.6193051254e-01,9.7166772599e-01,1.3830363309e-02,1.4416606228e-02,1.4300123218e-02,1.5666961116e-02
1.9531250000e-03,5.1200000000e+02,4.7073444082e-01,4.6538308036e-01,4.1668059696e-01,5.5370373615e-01,9.4658445466e-01,-7.9553334785e-01,-1.0086262828e+00,-1.9504566397e-01,-1.3915189677e-01,9.8104301659e-01,1.7283875607e-02,1.9640555383e-02,1.4777327159e-02,1.6441742670e-02
2.9296875000e-03,3.4133333333e+02,5.1428911368e-01,5.8584796138e-01,5.0719993677e-01,7.3283336927e-01,9.0340006888e-01,-9.8791751456e-01,-1.3240280487e+00,-1.7762339491e-01,-2.1989600340e-01,9.6560216217e-01,1.8291904100e-02,2.2767072381e-02,1.7056631413e-02,2.2024049698e-02
3.9062500000e-03,2.5600000000e+02,6.5291873732e-01,6.9080437323e-01,4.7853594432e-01,9.0818539800e-01,8.8405739907e-01,-1.2350084907e+00,-1.5511190874e+00,-2.0266844393e-01,-3.1891500865e-01,9.5287681523e-01,2.5279672884e-02,2.8965143058e-02,2.1862405829e-02,2.6918928802e-02
5.8593750000e-03,1.7066666667e+02,8.5703975131e-01,8.9661289002e-01,6.9310208173e-01,1.1035631887e+00,8.3028100225e-01,-1.6040307758e+00,-1.8953866632e+00,-2.8654158616e-01,-3.6751463979e-01,9.3676807019e-01,2.5453397075e-02,3.2655069436e-02,2.4127348112e-02,3.1175034106e-02
7.8125000000e-03,1.2800000000e+02,1.0070259831e+00,1.0759643845e+00,8.8992643669e-01,1.3074553172e+00,8.1736593063e-01,-1.8577266282e+00,-2.2909548222e+00,-3.8177887634e-01,-4.2082497817e-01,9.1190222077e-01,3.2627099048e-02,4.1697939337e-02,3.5337208020e-02,4.0556143915e-02
1.1718750000e-02,8.5333333333e+01,1.3822485705e+00,1.2154575390e+00,1.1448155679e+00,1.7717149854e+00,7.4180389820e-01,-2.5000406140e+00,-2.9259957463e+00,-4.7551542258e-01,-6.0993730355e-01,8.7668849909e-01,3.5330836504e-02,4.6602055180e-02,3.7542771742e-02,4.6180019578e-02
1.5625000000e-02,6.4000000000e+01,1.5550193405e+00,1.3244589356e+00,1.3752821261e+00,2.0651498023e+00,6.7361265001e-01,-2.9519131283e+00,-3.2221364450e+00,-5.9265491411e-01,-6.3147555900e-01,8.3924501602e-01,5.0504868372e-02,6.3876499811e-02,5.3035506727e-02,6.5138727798e-02
2.3437500000e-02,4.2666666667e+01,1.9353779781e+00,1.5955691080e+00,1.8973128779e+00,2.7005262575e+00,5.3171419537e-01,-3.7463221611e+00,-3.8251276367e+00,-8.2815170324e-01,-1.0261240564e+00,7.5217797215e-01,5.5712935227e-02,7.8382207263e-02,6.1390699364e-02,8.2991782692e-02
3.1250000000e-02,3.2000000000e+01,2.3745397457e+00,1.7637123762e+00,2.3499044486e+00,3.3797796772e+00,4.6938133916e-01,-4.4398359595e+00,-4.2956251068e+00,-8.9403352884e-01,-1.0190505240e+00,6.4983731085e-01,8.5663916561e-02,1.1202689638e-01,9.0103360551e-02,1.2131551245e-01
4.6875000000e-02,2.1333333333e+01,3.4033006836e+00,2.0450579814e+00,2.6360623142e+00,4.1925953535e+00,2.4691514773e-01,-5.6551377515e+00,-4.9151798231e+00,-8.8696337507e-01,-1.1013282455e+00,4.4215360062e-01,1.1999670746e-01,1.5237666716e-01,1.2955710273e-01,1.6352711700e-01
