frequency,period,resp_real_0_2,resp_imag_0_2,resp_real_0_3,resp_imag_0_3,coherence_0_2+3,resp_real_1_2,resp_imag_1_2,resp_real_1_3,resp_imag_1_3,coherence_1_2+3,dresp_0_2,dresp_0_3,dresp_1_2,dresp_1_3
1.4648437500e-03,6.8266666667e+02,3.7553820017e-01,4.2087363768e-01,3.3243638090e-01,4.4138577273e-01,8.8469008246e-01,-6.7784440534e-01,-8.3555866519e-01,-1.5476304204e-01,-1.5344587919e-01,9.4305915727e-01,3.0933217457e-02,3.2461958930e-02,2.9909319376e-02,3.1387459082e-02
1.9531250000e-03,5.1200000000e+02,4.5544857553e-01,4.7352371439e-01,3.8421100852e-01,5.4449480370e-01,8.8117476976e-01,-8.0225452024e-01,-1.0040409803e+00,-1.8290990486e-01,-2.1313058674e-01,9.5206812438e-01,3.8468142594e-02,4.1948276900e-02,3.3445456061e-02,3.6471198173e-02
2.9296875000e-03,3.4133333333e+02,4.7325994887e-01,5.9455662019e-01,4.3491283983e-01,7.6085903553e-01,8.1057433654e-01,-9.3047711320e-01,-1.3085398150e+00,-1.8188757126e-01,-2.2953565043e-01,9.1795261351e-01,3.8427307715e-02,4.4786897721e-02,3.7561642778e-02,4.3777968152e-02
3.9062500000e-03,2.5600000000e+02,6.0472014875e-01,7.0462195953e-01,4.3765943304e-01,9.1244995303e-01,7.9529312750e-01,-1.2107121638e+00,-1.5316302550e+00,-2.0796664613e-01,-2.9545920539e-01,8.9823309221e-01,5.0275237299e-02,6.0232191709e-02,5.2061486574e-02,6.2372205652e-02
5.8593750000e-03,1.7066666667e+02,8.2872344233e-01,9.2629262330e-01,6.3989762316e-01,1.1135457113e+00,6.9714037413e-01,-1.5594640887e+00,-1.8754402895e+00,-3.0034351832e-01,-3.2832937427e-01,8.5860507996e-01,5.5209828304e-02,6.8280843441e-02,5.4142454448e-02,6.6960767118e-02
7.8125000000e-03,1.2800000000e+02,1.0338873781e+00,1.0459958318e+00,8.5127811729e-01,1.3657574023e+00,6.6243101745e-01,-1.7951117014e+00,-2.2401160150e+00,-4.1261865410e-01,-3.9622063683e-01,8.1652992410e-01,7.3928810517e-02,9.0369085831e-02,7.5153154902e-02,9.1865699696e-02
1.1718750000e-02,8.5333333333e+01,1.3891345140e+00,1.2224491283e+00,1.0532910900e+00,1.8186711360e+00,5.6255496758e-01,-2.4524326255e+00,-2.9277220646e+00,-4.3863034994e-01,-5.8231472358e-01,7.5896390227e-01,8.2488523476e-02,1.0196179142e-01,8.3991303163e-02,1.0381933599e-01
1.5625000000e-02,6.4000000000e+01,1.5185112514e+00,1.3183136943e+00,1.3434936737e+00,2.1201522179e+00,4.8823618087e-01,-2.9421960630e+00,-3.2299391608e+00,-5.5560572962e-01,-5.7310180788e-01,6.7112788794e-01,1.1041942940e-01,1.3905854919e-01,1.1974898991e-01,1.5080788676e-01
2.3437500000e-02,4.2666666667e+01,1.8093730204e+00,1.5365229620e+00,1.7851365055e+00,2.7188348414e+00,2.8529865609e-01,-3.7693573785e+00,-3.9053492175e+00,-8.2833789941e-01,-9.5550881111e-01,5.4127075001e-01,1.2495692038e-01,1.6964956278e-01,1.3590784223e-01,1.8451723956e-01
3.1250000000e-02,3.2000000000e+01,2.4037562191e+00,1.7105138905e+00,2.2719800121e+00,3.4053039984e+00,1.8288167094e-01,-4.5304948017e+00,-4.3721774900e+00,-1.0211877886e+00,-1.1243216359e+00,4.1689718636e-01,1.8809212622e-01,2.4749517783e-01,1.9749177498e-01,2.5986341348e-01
4.6875000000e-02,2.1333333333e+01,3.4951354558e+00,2.1127199981e+00,2.7519546708e+00,4.2758064900e+00,0.0000000000e+00,-5.7019240790e+00,-4.8531848706e+00,-1.0652917315e+00,-1.0136652544e+00,1.3749136535e-01,2.4823559875e-01,3.2547448498e-01,2.5889631860e-01,3.3945230412e-01
6.2500000000e-02,1.6000000000e+01,3.8661238649e+00,2.4594646221e+00,3.7929013994e+00,5.6612459746e+00,0.0000000000e+00,-5.7741092844e+00,-5.9493196421e+00,-1.3896584759e+00,-1.3007380964e+00,0.0000000000e+00,4.2153361166e-01,5.7854994786e-01,4.2083831231e-01,5.7759565764e-01
9.3750000000e-02,1.0666666667e+01,3.9019206664e+00,2.2655600254e+00,4.4292457294e+00,7.3769684613e+00,0.0000000000e+00,-6.8066230237e+00,-7.2848681162e+00,-4.3713076268e-01,-2.5179927972e+00,0.0000000000e+00,6.3240615115e-01,8.7761666832e-01,6.4103907681e-01,8.8959694308e-01
1.2500000000e-01,8.0000000000e+00,5.2435831843e+00,1.8980955348e+00,5.8367421539e+00,7.6169076432e+00,0.0000000000e+00,-9.2962168092e+00,-8.5979591876e+00,2.5354448993e-02,-1.6449058694e+00,0.0000000000e+00,1.1843753823e+00,1.3986227577e+00,1.2767920592e+00,1.5077571330e+00
1.8750000000e-01,5.3333333333e+00,4.7387832652e+00,3.6658888826e+00,8.5634725028e+00,9.6804158779e+00,0.0000000000e+00,-1.1044579801e+01,-1.1288420713e+01,-2.2410881813e-01,-5.9486517134e-01,0.0000000000e+00,2.3448303276e+00,2.6955378153e+00,2.4987363447e+00,2.8724629788e+00
2.5000000000e-01,4.0000000000e+00,5.8663087458e+00,4.0237084012e+00,1.1448673553e+01,8.7057405984e+00,0.0000000000e+00,-1.5790867096e+01,-8.7704513688e+00,-2.1661192484e+00,6.6072701972e-01,0.0000000000e+00,3.9539052065e+00,4.7100592470e+00,4.3588999899e+00,5.1925061760e+00
3.7500000000e-01,2.6666666667e+00,-3.4465905605e+00,-5.2926160103e+00,2.3350002398e+01,8.4247649729e+00,0.0000000000e+00,-1.3650415635e+01,-3.9351547786e+00,-4.6476456345e-02,-1.1209122391e+01,0.0000000000e+00,9.1167424047e+00,1.4360288200e+01,6.6959474751e+00,1.0547159418e+01
5.0000000000e-01,2.0000000000e+00,1.2138476800e+00,-1.2060828241e+00,2.1694670304e+01,6.6378489509e+00,0.0000000000e+00,-5.3388269985e+00,-5.2436793936e+00,-6.0755766250e+00,1.4369373350e+00,0.0000000000e+00,7.8259184640e+00,1.6696400838e+01,4.1819051259e+00,8.9219897408e+00
7.5000000000e-01,1.3333333333e+00,-2.1006524904e+01,2.5790781806e+00,1.6554229461e+01,1.0975271268e+01,0.0000000000e+00,4.6419465867e+00,-4.1036458635e+00,-1.1865446987e+01,-1.0362276864e+01,0.0000000000e+00,2.1254751876e+01,2.4745434144e+01,1.3512248428e+01,1.5731374121e+01
1.0000000000e+00,1.0000000000e+00,1.1221334153e+01,1.0269742736e+01,2.1550278604e+01,-2.5333177664e+01,0.0000000000e+00,-1.1946320447e+01,-5.6519804277e+00,-2.0656437395e+01,-1.9537146173e+01,0.0000000000e+00,2.8647070903e+01,6.1624825326e+01,2.4703213361e+01,5.3140902732e+01
